RecordNo	endtime	qweek	i1_health	i2_health	i7a_health	i3_health	i4_health	i5_health_1	i5_health_2	i5_health_3	i5_health_4	i5_health_5	i5_health_99	i5a_health	i6_health	i7b_health	i8_health	i9_health	i10_health	i11_health	i12_health_1	i12_health_2	i12_health_3	i12_health_4	i12_health_5	i12_health_6	i12_health_7	i12_health_8	i12_health_9	i12_health_10	i12_health_11	i12_health_12	i12_health_13	i12_health_14	i12_health_15	i12_health_16	i12_health_17	i12_health_18	i12_health_19	i12_health_20	i13_health	i14_health_1	i14_health_2	i14_health_3	i14_health_4	i14_health_5	i14_health_6	i14_health_7	i14_health_8	i14_health_9	i14_health_10	i14_health_96	i14_health_98	i14_health_99	i14_health_other	d1_health_1	d1_health_2	d1_health_3	d1_health_4	d1_health_5	d1_health_6	d1_health_7	d1_health_8	d1_health_9	d1_health_10	d1_health_11	d1_health_12	d1_health_13	d1_health_98	d1_health_99	weight	gender	age	sta	household_size	household_children	employment_status
10	02/04/2020 15:03	week 1	2	1	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Rarely	Frequently	Not at all	Always	Always	Not at all	Always	Always	 	 	Always	Always	Always	Always	Frequently	Rarely	Always	Not at all	Frequently	Always	30	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	1.933877205	Female	64	Thuringia	2	0	Retired
11	02/04/2020 15:03	week 1	1	3	1	"No, I have not"	"Yes, and they tested negative"	Yes	Yes	No	No	No	No	Yes	Frequently	No	No	Yes	Neither easy nor difficult	Very willing	Sometimes	Always	Always	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Frequently	Rarely	Always	Always	15	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	0.955517932	Female	61	North Rhine-Westphalia	2	0	Retired
12	02/04/2020 15:03	week 1	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	No	Somewhat easy	Somewhat willing	Rarely	Always	Sometimes	Rarely	Always	Sometimes	Always	Always	 	 	Frequently	Always	Always	Always	Rarely	Sometimes	Not at all	Not at all	Rarely	Rarely	15	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	0.827997251	Male	72	North Rhine-Westphalia	2	0	Retired
13	02/04/2020 15:04	week 1	0	0	5	"No, I have not"	"No, they have not"	No	No	No	No	Yes	No	Not sure	Not at all	No	No	No	Very difficult	Very unwilling	Not at all	Frequently	Not at all	Frequently	Always	Not at all	Always	Always	 	 	Always	Always	Always	Always	Always	Rarely	Not at all	Not at all	Sometimes	Always	2	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	0.678998542	Male	58	Saxony	1	0	Unemployed
14	02/04/2020 15:04	week 1	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Not at all	Frequently	Not at all	Always	Always	Frequently	Always	Always	Not at all	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Always	Not at all	Frequently	8	No	No	No	No	No	No	No	No	No	No	Yes	No	No	JObcenter	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	0.785571705	Male	57	Berlin	1	0	Full time employment
15	02/04/2020 15:04	week 1	2	10	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Somewhat easy	Somewhat willing	Not at all	Always	Rarely	Frequently	Not at all	Sometimes	Always	Always	Always	 	Always	Not at all	Always	Always	Frequently	Rarely	Not at all	Not at all	Sometimes	Sometimes	12	No	No	No	No	No	Yes	No	No	No	No	No	No	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.832313091	Male	48	Schleswig-Holstein	3	0	Full time employment
16	02/04/2020 15:04	week 1	2	10	4	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Neither easy nor difficult	Somewhat willing	Not at all	Always	Not at all	Frequently	Sometimes	Not at all	Not at all	Not at all	Not at all	 	Not at all	Frequently	Frequently	Frequently	Not at all	Not at all	Always	Frequently	Sometimes	Not at all	8	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No	__NA__	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	0.785571705	Male	61	Berlin	3	0	Full time employment
17	02/04/2020 15:04	week 1	2	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Not at all	Always	Always	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Frequently	Always	Always	Always	Always	15	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.694501393	Female	22	Hesse	3	0	Full time student
18	02/04/2020 15:05	week 1	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Frequently	Frequently	Frequently	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Always	Not at all	Rarely	Always	4	No	No	No	No	No	Yes	No	No	No	No	No	No	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.841799902	Male	51	Mecklenburg-Vorpommern	2	0	Full time employment
19	02/04/2020 15:05	week 1	1	4	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Not at all	Frequently	Always	Frequently	Always	Frequently	Always	Always	Always	 	Frequently	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Always	Always	20	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.955517932	Female	62	North Rhine-Westphalia	2	0	Full time employment
20	02/04/2020 15:05	week 1	1	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Not at all	Frequently	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Sometimes	Sometimes	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.077569002	Female	36	Baden-Wurttemberg	2	0	Not working
21	02/04/2020 15:05	week 1	1	0	5	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Somewhat willing	Not at all	Always	Frequently	Always	Always	Not at all	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Always	Not at all	Frequently	Sometimes	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	0.767541874	Male	64	Brandenburg	2	0	Retired
22	02/04/2020 15:05	week 1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not sure	Very willing	Not at all	Frequently	Frequently	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Always	Rarely	Frequently	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	1.366746827	Male	47	Baden-Wurttemberg	2	0	Other
23	02/04/2020 15:05	week 1	3	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very difficult	Very willing	Not at all	Always	Always	Frequently	Not at all	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Always	Frequently	Frequently	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.958245291	Female	23	Baden-Wurttemberg	3	0	Full time student
24	02/04/2020 15:05	week 1	1	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Not at all	Always	Always	Frequently	Frequently	Always	 	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Not at all	Frequently	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	0.674611626	Male	77	Mecklenburg-Vorpommern	2	0	Retired
25	02/04/2020 15:06	week 1	1	4	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Very willing	Frequently	Always	Not at all	Frequently	Always	Frequently	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Sometimes	Frequently	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.793833555	Male	66	Hesse	2	0	Retired
26	02/04/2020 15:06	week 1	0	10	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Frequently	Sometimes	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Not at all	Always	Not at all	Always	6	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	No	1.648659662	Female	42	Thuringia	1	0	Full time employment
27	02/04/2020 15:06	week 1	2	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Sometimes	Frequently	Always	Frequently	Always	Always	Always	Always	Always	Always	Always	Always	Frequently	Rarely	Not at all	Not at all	Sometimes	Rarely	10	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.316619862	Male	40	Baden-Wurttemberg	3	2	Full time employment
28	02/04/2020 15:06	week 1	3	2	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Not at all	Frequently	Frequently	Always	Always	Always	 	Always	Frequently	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Frequently	Frequently	4	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	0.827997251	Male	60	North Rhine-Westphalia	4	2	Retired
29	02/04/2020 15:07	week 1	3	3	2	"No, I have not"	"No, they have not"	No	Yes	Yes	Yes	Yes	No	No	Sometimes	 	No	Not sure	Neither easy nor difficult	Neither willing nor unwilling	Not at all	Always	Rarely	Frequently	Frequently	Frequently	Always	Frequently	Rarely	 	Sometimes	Always	Always	Always	Always	Rarely	Not at all	Sometimes	Sometimes	Frequently	10	No	No	No	No	Yes	No	No	No	No	No	No	No	No	__NA__	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.724390195	Female	20	North Rhine-Westphalia	4	0	Full time employment
30	02/04/2020 15:07	week 1	2	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	No	Somewhat easy	Somewhat willing	Sometimes	Always	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	6	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.244721478	Female	47	Baden-Wurttemberg	3	2	Unemployed
31	02/04/2020 15:07	week 1	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Rarely	Always	Always	Frequently	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Always	Frequently	Frequently	Frequently	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	No	0.916092652	Female	81	Hesse	1	0	Retired
32	02/04/2020 15:07	week 1	1	3	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Frequently	Rarely	Sometimes	Frequently	Not at all	Not at all	Not at all	Not at all	 	Rarely	Not at all	Frequently	Always	Not at all	Not at all	Not at all	Not at all	Frequently	Not at all	6	No	No	No	No	No	No	No	No	No	No	No	Yes	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.787363471	Female	25	Hesse	2	0	Full time employment
33	02/04/2020 15:07	week 1	1	3	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Very willing	Frequently	Always	Always	Always	Always	Frequently	Not at all	Always	Always	 	Frequently	Frequently	Always	Always	Frequently	Sometimes	Not at all	Frequently	Always	Frequently	8	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	0.902128931	Female	49	Hesse	2	0	Full time employment
34	02/04/2020 15:07	week 1	2	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Somewhat willing	Rarely	Always	Sometimes	Always	Always	Frequently	Frequently	Always	Always	Always	Always	Always	Always	Always	Always	Sometimes	Not at all	Sometimes	Frequently	Always	5	No	No	Yes	No	No	No	No	No	No	No	No	No	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.656211354	Female	36	Schleswig-Holstein	3	1	Full time employment
35	02/04/2020 15:08	week 1	4	4	2	"No, I have not"	"No, they have not"	Yes	No	No	No	No	No	Not sure	Always	No	No	Yes	Somewhat easy	Very willing	Not at all	Frequently	Frequently	Always	Always	Frequently	Always	Always	Sometimes	Frequently	Always	Always	Always	Always	Always	Frequently	Not at all	Frequently	Frequently	Frequently	20	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Tourismus	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.353220067	Male	43	Lower Saxony	5	3	Full time employment
36	02/04/2020 15:08	week 1	2	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Neither easy nor difficult	Somewhat willing	Frequently	Sometimes	Frequently	Sometimes	Frequently	Sometimes	Sometimes	Frequently	 	 	Frequently	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Frequently	Frequently	Frequently	Frequently	6	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.341709323	Male	19	Bavaria	3	0	Full time student
37	02/04/2020 15:08	week 1	1	20	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Somewhat easy	Very willing	Not at all	Always	Sometimes	Always	Always	Sometimes	Not at all	Not at all	 	 	Frequently	Frequently	Always	Always	Always	Sometimes	Not at all	Not at all	Rarely	Frequently	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.892739992	Female	52	Berlin	2	0	Other
38	02/04/2020 15:08	week 1	3	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Not at all	Always	Frequently	Always	Always	Frequently	Always	Always	Always	Always	Always	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Frequently	Frequently	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.656711321	Male	45	Hamburg	4	2	Full time employment
39	02/04/2020 15:08	week 1	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Rarely	Always	Not at all	Always	Always	Frequently	Always	Always	Not at all	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Frequently	Frequently	Always	20	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Zeitungen zustellen	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.299125176	Female	60	Lower Saxony	2	0	Part time employment
40	02/04/2020 15:08	week 1	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Very difficult	Neither willing nor unwilling	Not at all	Always	Sometimes	Always	Always	Sometimes	Always	Always	Sometimes	 	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Not at all	Sometimes	Sometimes	5	No	No	No	No	No	No	No	No	No	No	No	Yes	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.940953264	Female	50	North Rhine-Westphalia	1	0	Full time employment
41	02/04/2020 15:08	week 1	0	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Frequently	Sometimes	Always	Always	Always	Always	Rarely	 	 	Always	Always	Always	Always	Always	Not at all	Not at all	Not at all	Sometimes	Sometimes	8	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	1.207198	Male	43	Bavaria	1	0	Not working
42	02/04/2020 15:08	week 1	2	10	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Sometimes	Always	Rarely	Always	Frequently	Frequently	Frequently	Always	 	 	Always	Frequently	Rarely	Always	Rarely	Frequently	Rarely	Rarely	Rarely	Not at all	8	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	0.668006835	Female	41	Saxony	1	0	Unemployed
43	02/04/2020 15:09	week 1	0	1	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Frequently	Always	Always	Not at all	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Always	Always	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.997841288	Male	70	Rheinland-Pfalz	1	0	Retired
44	02/04/2020 15:09	week 1	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Always	Always	 	Not at all	Always	Always	Always	Always	Always	Sometimes	Not at all	Always	Frequently	Frequently	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	0.767541874	Male	59	Brandenburg	1	1	Not working
45	02/04/2020 15:09	week 1	1	0	1	"No, I have not"	"No, they have not"	Yes	No	No	No	No	No	No	Always	No	No	Yes	Somewhat easy	Very willing	Sometimes	Always	Not at all	Always	Always	Sometimes	Always	Always	Always	 	Always	Always	Always	Always	Always	Sometimes	Sometimes	Not at all	Always	Frequently	6	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	0.758002843	Female	49	Schleswig-Holstein	2	0	Full time employment
46	02/04/2020 15:10	week 1	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	No	Very easy	Very willing	Not at all	Always	Sometimes	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Frequently	Not at all	Always	Always	Always	8	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	0.916092652	Female	66	Hesse	2	0	Retired
47	02/04/2020 15:10	week 1	1	0	3	"No, I have not"	"No, they have not"	No	No	No	No	Yes	No	No	Frequently	No	No	Yes	Neither easy nor difficult	Somewhat willing	Not at all	Always	Always	Always	Always	Rarely	Frequently	Always	Always	 	Always	Frequently	Always	Always	Always	Frequently	Not at all	Not at all	Frequently	Always	20	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	0.984883181	Female	21	Lower Saxony	2	0	Full time employment
48	02/04/2020 15:10	week 1	1	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Frequently	Always	Always	Always	Frequently	Always	Always	Sometimes	Sometimes	 	Always	Always	Always	Always	Always	Rarely	Rarely	Sometimes	Always	Frequently	6	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Öffentliche Verwaltung	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.207198	Male	39	Bavaria	2	0	Full time employment
49	02/04/2020 15:10	week 1	3	10	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Very willing	Always	Always	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	0.772854779	Female	37	Berlin	3	2	Other
50	02/04/2020 15:10	week 1	2	0	1	"No, I have not"	Not sure	No	No	No	No	No	Yes	 	 	 	 	Not sure	Not sure	Not sure	Rarely	Always	Sometimes	Always	Sometimes	Rarely	Sometimes	Rarely	Not at all	 	Frequently	Sometimes	Sometimes	Sometimes	Frequently	Sometimes	Sometimes	Sometimes	Not at all	Sometimes	2	No	No	No	No	No	No	No	No	No	No	No	Yes	No	__NA__	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	1.086372678	Female	34	Baden-Wurttemberg	2	0	Full time employment
