RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight,gender,age,region,household_size,household_children,employment_status
32,02/04/2020 15:32,week 1,1,0,0,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Frequently,7, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.54642286,Male,23,South-East,2,0,Full time student
33,02/04/2020 15:23,week 1,0,0,0,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,Always,No,No,Yes,Somewhat easy,Very willing,Not at all,Frequently,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.012663449,Male,29,Paris Area,1,0,Full time employment
34,02/04/2020 15:45,week 1,4,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Sometimes,Frequently,Sometimes,Frequently,Always,Rarely,Frequently,Not at all,Always,Frequently,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,0.929753646,Female,41,North-West,5,3,Part time employment
35,02/04/2020 15:50,week 1,1,0,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes, ,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.362956804,Female,24,Paris Area,Prefer not to say,0,Full time employment
36,02/04/2020 15:55,week 1,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Frequently,Frequently,Sometimes,Frequently,Rarely,Sometimes,Frequently,Sometimes, , ,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Frequently,Rarely,3, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.020069751,Male,65,South-West,2,0,Not working
37,02/04/2020 16:05,week 1,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Frequently,Always,7, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.026493929,Male,64,North-West,2,2,Retired
38,02/04/2020 16:14,week 1,10,15,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Rarely,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.881098424,Female,58,South-East,4,1,Part time employment
39,02/04/2020 16:14,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Rarely,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.035028183,Male,35,South-West,3,1,Full time employment
40,02/04/2020 16:15,week 1,2,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Sometimes,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.912426514,Female,60,North-East,2,0,Retired
41,02/04/2020 16:18,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Sometimes,Frequently,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,15, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.022136032,Male,71,North-East,2,2,Retired
42,02/04/2020 16:18,week 1,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Always,Always,Always,Always,Always,Rarely, , ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Frequently,5, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.103009202,Male,47,North-West,1,0,Unemployed
43,02/04/2020 16:19,week 1,4,0,0,"No, I have not","No, they have not",Yes,No,Yes,Yes,No,No,No,Always,No,No,Yes,Very difficult,Somewhat willing,Always,Always,Always,Frequently,Always,Always,Always,Sometimes,Rarely,Always,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Rarely,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.012663449,Male,34,Paris Area,4,2,Full time employment
44,02/04/2020 16:20,week 1,1,0,0,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,No,Always,No,No,Yes,Very easy,Very willing,Always,Always,Sometimes,Sometimes,Always,Always,Always,Not at all,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Sometimes,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,0.903970657,Female,33,Paris Area,1,0,Full time employment
45,02/04/2020 16:20,week 1,3,7,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,20,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Banque, , , , , , , , , , , , , , , ,0.939648322,Female,45,Paris Area,4,2,Full time employment
46,02/04/2020 16:20,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Not at all,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,6, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.055007623,Male,61,Paris Area,2,0,Retired
47,02/04/2020 16:22,week 1,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,7, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.026982624,Male,65,South-East,2,0,Retired
48,02/04/2020 16:22,week 1,1,50,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always,Not at all, ,Always,Not at all,Rarely,Rarely,Rarely,Frequently,Frequently,Not at all,Always,Always,6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,ARMÉE DEFENSE, , , , , , , , , , , , , , , ,1.024181511,Male,53,North-West,2,0,Full time employment
49,02/04/2020 16:22,week 1,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.912426514,Female,61,North-East,3,0,Retired
50,02/04/2020 16:23,week 1,3,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Rarely,Not at all,Not at all,Frequently,Not at all,Not at all, ,Always,Frequently,Frequently,Sometimes,Always,Rarely,Not at all,Not at all,Not at all,Always,Not at all,4, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916752904,Female,60,South-East,2,2,Unemployed
51,02/04/2020 16:24,week 1,3,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Frequently,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,2, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.275736138,Female,18,North-East,4,1,Full time student
52,02/04/2020 16:25,week 1,0,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Not at all,Always,Not at all,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916316662,Female,74,North-West,1,1,Retired
53,02/04/2020 16:27,week 1,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Frequently,Not at all,Always,Not at all,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Frequently,Frequently,8, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.026982624,Male,74,South-East,2,0,Retired
54,02/04/2020 16:27,week 1,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,7, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.916316662,Female,66,North-West,1,1,Retired
55,02/04/2020 16:27,week 1,2,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Sometimes,9, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.379782871,Female,24,North-West,2,1,Full time student
56,02/04/2020 16:28,week 1,3,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Frequently,Always,Frequently,Always,Always, ,Always,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,12, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.060615517,Male,50,South-East,4,1,Unemployed
57,02/04/2020 16:28,week 1,8,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently, , ,Sometimes,Sometimes,Always,Always,Frequently,Frequently,Not at all,Not at all,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,1.026982624,Male,70,South-East,3,0,Retired
58,02/04/2020 16:31,week 1,1,20,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Rarely,Sometimes,Always,Not at all, ,Always,Rarely,Frequently,Always,Rarely,Rarely,Not at all,Not at all,Sometimes,Rarely,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Avs a domicile, , , , , , , , , , , , , , , ,0.84550633,Female,55,South-West,2,0,Full time employment
59,02/04/2020 16:31,week 1,1,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Not at all,Always,Rarely,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Rarely,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,1.316763432,Female,24,Paris Area,2,0,Full time employment
