RecordNo	endtime	qweek	gender	age	region	household_size	household_children	employment_status	i1_health	i2_health	i7a_health	i3_health	i4_health	i5_health_1	i5_health_2	i5_health_3	i5_health_4	i5_health_5	i5_health_99	i5a_health	i6_health	i7b_health	i8_health	i9_health	i10_health	i11_health	i12_health_1	i12_health_2	i12_health_3	i12_health_4	i12_health_5	i12_health_6	i12_health_7	i12_health_8	i12_health_9	i12_health_10	i12_health_11	i12_health_12	i12_health_13	i12_health_14	i12_health_15	i12_health_16	i12_health_17	i12_health_18	i12_health_19	i12_health_20	i13_health	i14_health_1	i14_health_2	i14_health_3	i14_health_4	i14_health_5	i14_health_6	i14_health_7	i14_health_8	i14_health_9	i14_health_10	i14_health_96	i14_health_98	i14_health_99	i14_health_other	weight
10	02/04/2020 14:54	week 1	Female	60	North-East	2	2	Full time employment	1	2	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Frequently	Always	Frequently	Frequently	Always	Always	Frequently	Always	Always	Always	Always	Always	Always	Frequently	Always	Not at all	Frequently	Frequently	12	No	No	No	Yes	No	No	No	No	No	No	No	No	No	__NA__	0.847219011
11	02/04/2020 14:59	week 1	Male	42	South-East	4	2	Full time employment	3	5	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Rarely	Frequently	Frequently	Frequently	Always	Always	Frequently	Always	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Rarely	Sometimes	3	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.078598313
12	02/04/2020 14:55	week 1	Male	64	Paris Area	Prefer not to say	0	Part time employment	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Neither willing nor unwilling	Frequently	Frequently	Frequently	Sometimes	Always	Sometimes	Always	Always	Always	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Not at all	Frequently	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.979610414
13	02/04/2020 14:59	week 1	Male	41	North-East	1	0	Full time employment	0	0	2	"No, I have not"	"No, they have not"	Yes	No	No	No	No	No	Not sure	Not at all	Yes	Yes	Yes	Very easy	Very willing	Not at all	Frequently	Not at all	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Always	Always	Rarely	Always	3	No	No	No	No	No	No	No	No	No	No	Yes	No	No	siderurgie	1.073508133
14	02/04/2020 15:03	week 1	Male	62	North-East	2	0	Part time employment	2	6	1	"No, I have not"	"No, they have not"	No	Yes	No	No	No	No	No	Frequently	Yes	No	Yes	Somewhat easy	Very willing	Not at all	Always	Always	Always	Always	Frequently	Frequently	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Frequently	Always	10	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.949088025
15	02/04/2020 15:02	week 1	Female	66	South-East	1	0	Retired	0	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Somewhat willing	Rarely	Always	Frequently	Frequently	Always	Always	Not at all	Always	 	 	Always	Frequently	Always	Always	Always	Frequently	Not at all	Always	Frequently	Always	20	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916752904
16	02/04/2020 15:03	week 1	Female	40	North-West	4	2	Full time employment	3	2	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Somewhat willing	Not at all	Always	Rarely	Always	Always	Frequently	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Sometimes	Always	6	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.929753646
17	02/04/2020 15:03	week 1	Female	66	North-East	2	0	Retired	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Neither easy nor difficult	Somewhat willing	Sometimes	Always	Always	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Always	Always	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.912426514
18	02/04/2020 14:58	week 1	Female	61	North-East	2	2	Not working	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Frequently	Frequently	Always	Always	Frequently	Not at all	Always	 	Always	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Not at all	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.912426514
19	02/04/2020 14:59	week 1	Female	59	South-West	2	0	Not working	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Somewhat willing	Always	Always	Always	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Always	Always	20	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.910582014
20	02/04/2020 15:07	week 1	Female	61	North-West	2	0	Retired	1	1	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Frequently	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Rarely	Always	Frequently	Frequently	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916316662
21	02/04/2020 15:06	week 1	Female	27	South-East	2	0	Full time employment	1	3	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Always	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Always	Frequently	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.910827566
22	02/04/2020 15:21	week 1	Female	73	South-West	2	0	Retired	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Somewhat willing	Not at all	Always	Frequently	Sometimes	Always	Sometimes	Always	Always	 	 	Always	Always	Always	Always	Always	Sometimes	Not at all	Not at all	Sometimes	Frequently	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.910582014
23	02/04/2020 15:06	week 1	Female	64	North-West	1	0	Retired	0	3	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Always	Frequently	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Always	Frequently	Frequently	20	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916316662
24	02/04/2020 15:20	week 1	Male	24	Paris Area	1	0	Full time student	1	2	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	No	Very easy	Very willing	Sometimes	Always	Always	Always	Always	Frequently	Always	Always	 	 	Always	Always	Always	Always	Always	Frequently	Not at all	Sometimes	Frequently	Always	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.588622697
25	02/04/2020 15:18	week 1	Female	29	South-West	2	0	Part time employment	1	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Frequently	Frequently	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Rarely	Always	30	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.904696561
26	02/04/2020 15:19	week 1	Female	59	North-East	1	0	Full time employment	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Not at all	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Always	Frequently	Always	10	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.847219011
27	02/04/2020 15:15	week 1	Male	74	North-East	3	3	Retired	2	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Rarely	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Frequently	Frequently	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.022136032
28	02/04/2020 15:15	week 1	Male	33	North-West	3	1	Unemployed	2	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Somewhat willing	Always	Always	Frequently	Always	Always	Always	Always	Always	 	Frequently	Always	Frequently	Always	Always	Always	Always	Always	Always	Frequently	Always	6	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.019859292
29	02/04/2020 15:18	week 1	Male	29	Paris Area	2	0	Full time employment	1	3	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Not at all	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Always	Always	Sometimes	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.012663449
30	02/04/2020 15:20	week 1	Female	67	North-West	1	0	Retired	0	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Not at all	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916316662
31	02/04/2020 15:20	week 1	Male	33	North-West	Prefer not to say	0	Full time employment	0	0	2	"No, I have not"	 	 	 	 	 	 	 	 	 	 	 	Not sure	Not sure	Not sure	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	 	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.061128861
32	02/04/2020 15:32	week 1	Male	23	South-East	2	0	Full time student	1	0	0	"No, I have not"	"No, they have not"	Yes	No	No	No	No	No	No	Always	No	No	Yes	Somewhat easy	Somewhat willing	Always	Always	Frequently	Frequently	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Sometimes	Frequently	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.54642286
33	02/04/2020 15:23	week 1	Male	29	Paris Area	1	0	Full time employment	0	0	0	"No, I have not"	"No, they have not"	No	No	No	No	Yes	No	No	Always	No	No	Yes	Somewhat easy	Very willing	Not at all	Frequently	Always	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	3	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.012663449
34	02/04/2020 15:45	week 1	Female	41	North-West	5	3	Part time employment	4	3	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Very willing	Not at all	Always	Sometimes	Frequently	Sometimes	Frequently	Always	Rarely	Frequently	Not at all	Always	Frequently	Always	Always	Always	Always	Not at all	Not at all	Sometimes	Always	10	No	No	No	Yes	No	No	No	No	No	No	No	No	No	__NA__	0.929753646
37	02/04/2020 15:50	week 1	Female	24	Paris Area	Prefer not to say	0	Full time employment	1	0	0	"No, I have not"	Not sure	No	No	No	No	No	Yes	 	 	 	 	Not sure	Not sure	Not sure	Rarely	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Rarely	Rarely	Sometimes	 	Sometimes	Sometimes	Sometimes	Rarely	Sometimes	Rarely	Sometimes	Sometimes	Rarely	Rarely	0	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.362956804
38	02/04/2020 15:55	week 1	Male	65	South-West	2	0	Not working	0	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	No	Very easy	Very willing	Frequently	Frequently	Sometimes	Frequently	Rarely	Sometimes	Frequently	Sometimes	 	 	Not at all	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Not at all	Not at all	Frequently	Rarely	3	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.020069751
39	02/04/2020 16:05	week 1	Male	64	North-West	2	2	Retired	1	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Always	Always	Always	Sometimes	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Sometimes	Not at all	Not at all	Frequently	Always	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.026493929
40	02/04/2020 16:14	week 1	Female	58	South-East	4	1	Part time employment	10	15	4	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Neither easy nor difficult	Neither willing nor unwilling	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Not at all	Rarely	Sometimes	Not at all	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Sometimes	Not at all	Sometimes	Sometimes	10	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.881098424
41	02/04/2020 16:14	week 1	Male	35	South-West	3	1	Full time employment	2	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Rarely	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Rarely	Always	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.035028183
42	02/04/2020 16:15	week 1	Female	60	North-East	2	0	Retired	2	1	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Always	Frequently	Sometimes	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Frequently	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.912426514
43	02/04/2020 16:18	week 1	Male	71	North-East	2	2	Retired	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Frequently	Sometimes	Frequently	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Sometimes	Always	15	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.022136032
44	02/04/2020 16:18	week 1	Male	47	North-West	1	0	Unemployed	2	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Somewhat willing	Not at all	Always	Always	Always	Always	Always	Always	Rarely	 	 	Always	Always	Always	Always	Always	Sometimes	Always	Always	Sometimes	Frequently	5	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.103009202
45	02/04/2020 16:19	week 1	Male	34	Paris Area	4	2	Full time employment	4	0	0	"No, I have not"	"No, they have not"	Yes	No	Yes	Yes	No	No	No	Always	No	No	Yes	Very difficult	Somewhat willing	Always	Always	Always	Frequently	Always	Always	Always	Sometimes	Rarely	Always	Always	Frequently	Frequently	Frequently	Always	Always	Frequently	Frequently	Always	Rarely	6	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.012663449
46	02/04/2020 16:20	week 1	Female	33	Paris Area	1	0	Full time employment	1	0	0	"No, I have not"	"No, they have not"	Yes	No	No	No	Yes	No	No	Always	No	No	Yes	Very easy	Very willing	Always	Always	Sometimes	Sometimes	Always	Always	Always	Not at all	Always	 	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Always	Sometimes	20	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.903970657
47	02/04/2020 16:20	week 1	Female	45	Paris Area	4	2	Full time employment	3	7	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Always	Always	Frequently	Always	Always	Frequently	Always	Always	Frequently	Always	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Frequently	Always	20	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Banque	0.939648322
48	02/04/2020 16:20	week 1	Male	61	Paris Area	2	0	Retired	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Always	Not at all	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Always	Always	Always	6	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.055007623
49	02/04/2020 16:22	week 1	Male	65	South-East	2	0	Retired	1	0	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Frequently	Frequently	Frequently	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Sometimes	Always	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.026982624
50	02/04/2020 16:22	week 1	Male	53	North-West	2	0	Full time employment	1	50	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Frequently	Frequently	Always	Always	Always	Always	Always	Not at all	 	Always	Not at all	Rarely	Rarely	Rarely	Frequently	Frequently	Not at all	Always	Always	6	No	No	No	No	No	No	No	No	No	No	Yes	No	No	ARMÉE DEFENSE	1.024181511
51	02/04/2020 16:22	week 1	Female	61	North-East	3	0	Retired	3	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Always	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Always	Always	Not at all	Always	Always	Always	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.912426514
52	02/04/2020 16:23	week 1	Female	60	South-East	2	2	Unemployed	3	2	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Not sure	Neither easy nor difficult	Neither willing nor unwilling	Not at all	Always	Rarely	Not at all	Not at all	Frequently	Not at all	Not at all	 	Always	Frequently	Frequently	Sometimes	Always	Rarely	Not at all	Not at all	Not at all	Always	Not at all	4	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916752904
53	02/04/2020 16:24	week 1	Female	18	North-East	4	1	Full time student	3	1	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Always	Frequently	Always	Always	Always	Always	Always	 	Always	Always	Frequently	Always	Always	Always	Always	Not at all	Not at all	Frequently	Always	2	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.275736138
54	02/04/2020 16:25	week 1	Female	74	North-West	1	1	Retired	0	10	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Neither willing nor unwilling	Not at all	Always	Not at all	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Always	Always	Frequently	Frequently	10	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916316662
55	02/04/2020 16:27	week 1	Male	74	South-East	2	0	Retired	1	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat difficult	Somewhat willing	Not at all	Frequently	Not at all	Always	Not at all	Sometimes	Always	Always	 	 	Always	Always	Always	Always	Always	Frequently	Not at all	Always	Frequently	Frequently	8	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.026982624
56	02/04/2020 16:27	week 1	Female	66	North-West	1	1	Retired	0	0	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Frequently	Frequently	Always	Frequently	Always	Always	 	Always	Always	Always	Always	Always	Always	Frequently	Always	Always	Frequently	Frequently	7	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	0.916316662
57	02/04/2020 16:27	week 1	Female	24	North-West	2	1	Full time student	2	1	2	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Always	Always	Always	Always	Always	Always	 	Always	Always	Always	Always	Always	Always	Always	Not at all	Not at all	Frequently	Sometimes	9	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.379782871
58	02/04/2020 16:28	week 1	Male	50	South-East	4	1	Unemployed	3	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Always	Always	Always	Frequently	Always	Frequently	Always	Always	 	Always	Always	Frequently	Always	Always	Always	Frequently	Not at all	Not at all	Always	Frequently	12	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.060615517
59	02/04/2020 16:28	week 1	Male	70	South-East	3	0	Retired	8	10	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Very easy	Very willing	Not at all	Frequently	Frequently	Frequently	Frequently	Always	Frequently	Frequently	 	 	Sometimes	Sometimes	Always	Always	Frequently	Frequently	Not at all	Not at all	Sometimes	Frequently	3	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.026982624
60	02/04/2020 16:31	week 1	Female	55	South-West	2	0	Full time employment	1	20	4	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Always	Always	Always	Rarely	Sometimes	Always	Not at all	 	Always	Rarely	Frequently	Always	Rarely	Rarely	Not at all	Not at all	Sometimes	Rarely	10	No	No	No	No	No	No	No	No	No	No	Yes	No	No	Avs a domicile	0.84550633
61	02/04/2020 16:31	week 1	Female	24	Paris Area	2	0	Full time employment	1	2	1	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Frequently	Not at all	Always	Rarely	Frequently	Always	Always	Always	 	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Rarely	Always	5	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	1.316763432
62	02/04/2020 16:33	week 1	Female	56	North-West	4	2	Part time employment	3	0	0	"No, I have not"	"No, they have not"	No	No	No	No	No	Yes	 	 	 	 	Yes	Somewhat easy	Very willing	Not at all	Always	Frequently	Always	Always	Frequently	Always	Always	Always	Always	Always	Always	Always	Always	Always	Frequently	Not at all	Not at all	Frequently	Always	6	No	No	No	No	No	No	No	No	No	No	No	No	Yes	__NA__	0.916316662
63	02/04/2020 16:34	week 1	Male	67	South-West	1	0	Retired	0	50	1	"No, I have not"	"No, they have not"	Yes	No	No	No	No	No	Not sure	Always	No	No	Yes	Somewhat easy	Very willing	Frequently	Always	Rarely	Always	Always	Always	Always	Always	 	 	Always	Always	Always	Always	Frequently	Frequently	Always	Always	Rarely	Frequently	20	 	 	 	 	 	 	 	 	 	 	 	 	 	__NA__	1.020069751
