RecordNo,endtime,qweek,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight
10,09/04/2020 10:47,week 1,Male,66,Sjælland,2,0,No,No,No,Yes,No,No,No, , , , , ,1,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Somewhat willing,Not at all,Frequently,Frequently,Frequently,Sometimes,Rarely,Not at all,Frequently, , ,Frequently,Sometimes,Always,Frequently,Sometimes,Rarely,Not at all,Sometimes,Sometimes,Rarely,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.857047555
11,09/04/2020 10:48,week 1,Female,68,Nordjylland,2,0,No,No,No,Yes,No,No,No, , , , , ,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Always,Frequently,Always,Frequently,Not at all,Rarely,Always, , ,Frequently,Sometimes,Always,Always,Always,Rarely,Not at all,Sometimes,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.97799887
12,09/04/2020 10:48,week 1,Male,28,Hovedstaden,1,0,Yes,No,No,No,No,No,No, , , , , ,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Not sure,Not sure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Rarely,Not at all,Rarely,Rarely,Rarely,Not at all,Sometimes,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.197065768
13,09/04/2020 10:48,week 1,Male,77,Nordjylland,1,0,No,No,No,Yes,No,No,No, , , , , ,0,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Frequently,Not at all,Sometimes,Not at all,Always,Always, , ,Always,Always,Always,Frequently,Frequently,Sometimes,Always,Always,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.846705847
14,09/04/2020 10:49,week 1,Female,65,Nordjylland,1,0,Yes,No,No,No,No,No,No, , , , , ,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat difficult,Somewhat willing,Not at all,Frequently,Rarely,Not at all,Not at all,Frequently,Not at all,Always,Rarely, ,Frequently,Rarely,Rarely,Rarely,Frequently,Rarely,Not at all,Not at all,Rarely,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.97799887
15,09/04/2020 10:49,week 1,Male,67,Hovedstaden,2,0,No,No,No,Yes,No,No,No, , , , , ,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Frequently,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.778454145
16,09/04/2020 10:50,week 1,Male,60,Midtjylland,1,0,No,No,No,Yes,No,No,No, , , , , ,0,0,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Yes,Always,No,No,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Frequently, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Not at all,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,0.825932981
17,09/04/2020 10:50,week 1,Male,61,Nordjylland,2,0,Yes,No,No,No,No,No,No, , , , , ,2,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Frequently,Always,Frequently,Frequently,Always,Not at all, ,Always,Always,Always,Always,Always,Frequently,Not at all,Frequently,Frequently,Sometimes,15,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0.846705847
18,09/04/2020 10:50,week 1,Female,64,Syddanmark,2,0,No,Yes,No,No,No,No,No, , , , , ,1,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Always,Always,Frequently,Not at all,Always,Sometimes, ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,haveservice,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1.131770892
19,09/04/2020 10:51,week 1,Female,19,Syddanmark,3,0,No,Yes,Yes,No,No,No,No, , , , , ,5,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Always,Rarely,Not at all,Always,Always,Always, ,Always,Not at all,Frequently,Always,Sometimes,Rarely,Always,Not at all,Not at all,Not at all,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.806066336
20,09/04/2020 10:51,week 1,Female,38,Hovedstaden,2,1,Yes,No,No,No,No,No,No, , , , , ,2,0,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Not at all,Not at all,Not at all,Not at all,Always,Frequently,Frequently,Frequently,Frequently,Not at all,Frequently,Frequently,Frequently,Frequently,8,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.241488296
21,09/04/2020 10:51,week 1,Male,59,Syddanmark,2,0,Yes,No,No,No,No,No,No, , , , , ,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,1.001493825
22,09/04/2020 10:51,week 1,Male,54,Hovedstaden,2,0,No,No,Yes,No,No,No,No, , , , , ,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Not at all,Always,Frequently,Frequently,Always,Not at all,Always,Not at all, , ,Always,Sometimes,Always,Always,Frequently,Not at all,Always,Always,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.034903856
23,09/04/2020 10:52,week 1,Male,63,Hovedstaden,3,0,No,Yes,No,No,No,No,No, , , , , ,4,1,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Frequently,Always,Always,Always,Rarely,Always,Always, ,Frequently,Frequently,Frequently,Always,Always,Frequently,Not at all,Not at all,Sometimes,Sometimes,20,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.778454145
24,09/04/2020 10:52,week 1,Male,55,Midtjylland,3,1,Yes,No,No,No,No,No,No, , , , , ,3,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Rarely,Always,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Not at all,Not at all,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.871680339
25,09/04/2020 10:53,week 1,Male,41,Midtjylland,2,1,No,No,No,No,Yes,No,No, , , , , ,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Rarely,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Rarely,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0.982570184
26,09/04/2020 10:53,week 1,Female,29,Midtjylland,2,0,Yes,No,No,No,No,No,No, , , , , ,1,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Not at all,Not at all,Frequently, ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Not at all,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Finanssektor,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0.832641039
27,09/04/2020 10:53,week 1,Male,45,Hovedstaden,3,1,Yes,No,No,No,No,No,No, , , , , ,2,10,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Frequently,Frequently,Not at all,Always,Always,Not at all,Not at all,Frequently,Not at all,Frequently,Frequently,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.168327681
28,09/04/2020 10:54,week 1,Female,36,Hovedstaden,1,0,No,Yes,No,No,No,No,No, , , , , ,0,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Frequently,Frequently,Sometimes,Always,Frequently,Always, ,Frequently,Always,Always,Always,Frequently,Sometimes,Always,Frequently,Sometimes,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.241488296
29,09/04/2020 10:54,week 1,Female,21,Hovedstaden,2,0,No,No,Yes,No,No,No,No, , , , , ,1,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Sometimes,Always,Always,Sometimes,Always,Frequently, , ,Always,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.877842036
30,09/04/2020 10:55,week 1,Male,60,Hovedstaden,2,0,Yes,No,No,No,No,No,No, , , , , ,1,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Frequently,Always,Always,Always,Frequently,Always,Always,Always, ,Frequently,Frequently,Frequently,Always,Always,Frequently,Not at all,Always,Sometimes,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,0.778454145
31,09/04/2020 10:55,week 1,Female,71,Nordjylland,2,0,No,No,No,Yes,No,No,No, , , , , ,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Always,Always,Rarely,Always,Frequently, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Rarely,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.97799887
32,09/04/2020 10:55,week 1,Male,75,Sjælland,2,0,No,No,No,Yes,No,No,No, , , , , ,1,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Always,Rarely,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.857047555
33,09/04/2020 10:55,week 1,Male,71,Nordjylland,1,0,No,No,No,Yes,No,No,No, , , , , ,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Frequently,Always, , ,Frequently,Frequently,Always,Always,Frequently,Sometimes,Not at all,Rarely,Sometimes,Frequently,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.846705847
34,09/04/2020 10:55,week 1,Female,53,Hovedstaden,1,0,Yes,No,No,No,No,No,No, , , , , ,0,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Sometimes,Frequently,Frequently,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.858846048
35,09/04/2020 10:55,week 1,Male,56,Syddanmark,3,2,Yes,No,No,No,No,No,No, , , , , ,5,10,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Rarely,Rarely,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Rarely,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.001493825
36,09/04/2020 10:56,week 1,Male,66,Sjælland,2,0,Yes,No,No,No,No,No,No, , , , , ,1,30,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.857047555
37,09/04/2020 10:56,week 1,Female,73,Hovedstaden,2,0,No,No,No,Yes,No,No,No, , , , , ,1,2,7,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Rarely,Not at all,Always, , ,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Not at all,Rarely,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.998534156
38,09/04/2020 10:57,week 1,Female,54,Sjælland,2,0,Yes,No,No,No,No,No,No, , , , , ,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Sometimes,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes, ,Frequently,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Always,10,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.048390782
39,09/04/2020 10:57,week 1,Female,57,Syddanmark,2,0,Yes,No,No,No,No,No,No, , , , , ,1,3,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Rarely,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Pædagog,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0.814353484
40,09/04/2020 10:57,week 1,Male,70,Midtjylland,2,0,No,No,No,Yes,No,No,No, , , , , ,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat willing,Not at all,Always,Frequently,Not at all,Rarely,Frequently,Not at all,Always, , ,Frequently,Frequently,Always,Always,Rarely,Rarely,Not at all,Frequently,Sometimes,Frequently,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.825932981
41,09/04/2020 10:59,week 1,Female,57,Syddanmark,2,0,Yes,No,No,No,No,No,No, , , , , ,1,3,2,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,No,Frequently,No,No,Yes,Very easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,30,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0.814353484
42,09/04/2020 10:59,week 1,Male,70,Hovedstaden,2,0,No,No,No,Yes,No,No,No, , , , , ,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Frequently,Always,8, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,0.778454145
43,09/04/2020 11:00,week 1,Female,64,Syddanmark,2,0,No,Yes,No,No,No,No,No, , , , , ,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Not at all,Always,Always,Always,Not at all,Not at all,Not at all,Always,Frequently,60,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,1.131770892
44,09/04/2020 11:01,week 1,Female,26,Sjælland,4,2,Yes,No,No,No,No,No,No, , , , , ,3,50,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Not at all,Always,Not at all,Always,Rarely,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Frequently,Rarely,50,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.82721305
45,09/04/2020 11:01,week 1,Female,61,Sjælland,1,0,No,No,No,No,No,Yes,No, , , , , ,3,6,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Always,15, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0.842446457
46,09/04/2020 11:01,week 1,Female,45,Syddanmark,1,0,No,No,No,Yes,No,No,No, , , , , ,0,10,0,"No, I have not", ,No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Not at all,Frequently,Not at all,Always, , ,Frequently,Always,Always,Always,Always,Frequently,Not at all,Not at all,Frequently,Frequently,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0.896980605
47,09/04/2020 11:02,week 1,Female,60,Hovedstaden,1,0,No,No,Yes,No,No,No,No, , , , , ,0,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Sometimes,Frequently,Always,Rarely,Always,Always, , ,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Always,Not at all,Frequently,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.998534156
48,09/04/2020 11:03,week 1,Female,70,Sjælland,2,0,No,No,No,Yes,No,No,No, , , , , ,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Rarely,Always,Not at all,Frequently,Not at all,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Rarely,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.842446457
