RecordNo,endtime,qweek,gender,region,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,age,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,i12_health_21,i12_health_22,i12_health_23,i12_health_24,i12_health_25,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7
11,02/04/2020 15:56,week 1,Female,Hokkaid?,1,0,1,Yes,Always,No,Yes,Somewhat easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,35,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,Yes,1.099278554,70,2,0,Part time employment, , , , , , , , , , , , , , , , , 
12,02/04/2020 15:59,week 1,Female,Kansai,1,1,0, , , ,Yes,Very difficult,Very willing,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Frequently, , ,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.099278554,90,2,0,Unemployed, , , , , , , , , , , , , , , , , 
13,02/04/2020 16:00,week 1,Male,Kant?,10,6,4, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Rarely,Sometimes,Rarely,Rarely,Sometimes, ,Not at all,Rarely,Rarely,Rarely,Sometimes,Rarely,Always,Rarely,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.948322856,39,4,0,Full time employment, , , , , , , , , , , , , , , , , 
14,02/04/2020 16:01,week 1,Male,Ky?sh?,3,5,3,No,Not at all,No,No,Somewhat easy,Somewhat willing,Always,Always,Not at all,Frequently,Always,Sometimes,Sometimes,Sometimes,Sometimes, ,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Always,Not at all,Not at all,Rarely,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.948322856,35,4,0,Full time employment, , , , , , , , , , , , , , , , , 
15,02/04/2020 16:10,week 1,Female,Ch?bu,2,0,1, , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Always,Sometimes,Not at all,Always,Rarely,Rarely,Sometimes,Rarely,Rarely, ,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Always,Rarely,Rarely,Rarely,1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.959289748,31,4,0,Part time employment, , , , , , , , , , , , , , , , , 
16,02/04/2020 16:12,week 1,Female,Kansai,1,1,1, , , ,Yes,Somewhat easy,Somewhat willing,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely, ,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.975657569,50,2,Prefer not to say,Full time employment, , , , , , , , , , , , , , , , , 
17,02/04/2020 16:15,week 1,Female,Ch?bu,1,0,3, , , ,Yes,Very difficult,Neither willing nor unwilling,Rarely,Always,Not at all,Always,Sometimes,Rarely,Rarely,Frequently,Rarely,Not at all,Always,Always,Always,Always,Sometimes,Rarely,Always,Not at all,Sometimes,Sometimes,50,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.975657569,46,2,1,Full time employment, , , , , , , , , , , , , , , , , 
18,02/04/2020 16:26,week 1,Female,Ch?goku,3,5,1, , , ,Yes,Somewhat difficult,Very willing,Always,Frequently,Rarely,Always,Always,Frequently,Frequently,Always, ,Always,Sometimes,Rarely,Always,Always,Always,Frequently,Not at all,Sometimes,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.950870368,21,4,1,Other, , , , , , , , , , , , , , , , , 
19,02/04/2020 16:28,week 1,Male,Ch?bu,8,0,12, , , ,No,Very difficult,Very willing,Always,Always,Not at all,Frequently,Always,Always,Sometimes,Always,Frequently, ,Sometimes,Frequently,Always,Always,Always,Sometimes,Not at all,Always,Frequently,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.900619343,34,4,0,Full time employment, , , , , , , , , , , , , , , , , 
20,02/04/2020 16:32,week 1,Male,Ky?sh?,2,0,1, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Rarely,Always, , ,Frequently,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.032046398,69,3,0,Retired, , , , , , , , , , , , , , , , , 
21,02/04/2020 16:41,week 1,Male,T?hoku,2,2,5, , , ,No,Very difficult,Somewhat unwilling,Rarely,Always,Not at all,Sometimes,Rarely,Frequently,Rarely,Always, , ,Not at all,Not at all,Not at all,Rarely,Not at all,Always,Frequently,Always,Sometimes,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , ,No,No,No,No,No,Yes, ,0.900619343,32,1,0,Retired, , , , , , , , , , , , , , , , , 
22,02/04/2020 16:46,week 1,Female,Ky?sh?,0,0,2, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Always,Not at all,Always,Always,Not at all,Rarely,Rarely,Rarely, ,Rarely,Always,Always,Always,Frequently,Rarely,Always,Always,Frequently,Rarely,0,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,????????????????????????????????????,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.099278554,59,2,0,Part time employment, , , , , , , , , , , , , , , , , 
23,02/04/2020 16:46,week 1,Male,Kant?,1,0,0, , , ,Yes,Somewhat easy,Somewhat willing,Rarely,Always,Not at all,Always,Sometimes,Sometimes,Sometimes,Sometimes, , ,Rarely,Rarely,Rarely,Rarely,Frequently,Sometimes,Rarely,Rarely,Sometimes,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.948322856,36,2,0,Unemployed, , , , , , , , , , , , , , , , , 
24,02/04/2020 16:47,week 1,Female,Hokkaid?,2,50,2, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Always,Always,Always,Not at all,Sometimes,Not at all,Rarely, ,Always,Frequently,Frequently,Frequently,Sometimes,Rarely,Always,Sometimes,Always,Sometimes,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010100883,40,1,0,Part time employment, , , , , , , , , , , , , , , , , 
25,02/04/2020 16:49,week 1,Male,Ch?bu,0,0,1, , , ,Yes,Very easy,Very willing,Frequently,Frequently,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,??,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.900619343,33,Prefer not to say,0,Full time employment, , , , , , , , , , , , , , , , , 
26,02/04/2020 16:54,week 1,Female,Kansai,4,150,1, , , ,Yes,Neither easy nor difficult,Somewhat unwilling,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.959289748,31,4,2,Full time employment, , , , , , , , , , , , , , , , , 
27,02/04/2020 16:55,week 1,Female,Ch?bu,0,100,1, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Frequently,Frequently,Always,Sometimes,Rarely,Rarely,Not at all, ,Not at all,Rarely,Rarely,Sometimes,Rarely,Sometimes,Not at all,Sometimes,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.975657569,45,1,0,Full time employment, , , , , , , , , , , , , , , , , 
28,02/04/2020 16:57,week 1,Male,Kansai,0,0,1, , , ,Yes,Not sure,Very unwilling,Frequently,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.948322856,37,1,0,Full time employment, , , , , , , , , , , , , , , , , 
29,02/04/2020 16:58,week 1,Female,Kant?,4,2,0, , , ,Not sure,Very difficult,Not sure,Always,Always,Not at all,Always,Frequently,Sometimes,Sometimes,Sometimes, , ,Always,Rarely,Sometimes,Sometimes,Frequently,Sometimes,Not at all,Rarely,Rarely,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.959289748,34,4,0,Unemployed, , , , , , , , , , , , , , , , , 
30,02/04/2020 17:01,week 1,Female,Kant?,3,0,1, , , ,Not sure,Very easy,Very willing,Rarely,Not at all,Not at all,Not at all,Frequently,Rarely,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.950870368,21,4,0,Full time student, , , , , , , , , , , , , , , , , 
31,02/04/2020 17:02,week 1,Male,Ky?sh?,2,15,1,No,Not at all,No,Not sure,Very difficult,Neither willing nor unwilling,Always,Frequently,Frequently,Frequently,Sometimes,Rarely,Frequently,Always,Rarely, ,Rarely,Sometimes,Frequently,Frequently,Frequently,Sometimes,Always,Frequently,Sometimes,Rarely,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,1.032046398,56,4,0,Full time employment, , , , , , , , , , , , , , , , , 
32,02/04/2020 17:12,week 1,Male,Ch?bu,2,2,1,No,Rarely,No,Yes,Somewhat easy,Very willing,Always,Always,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Always,Sometimes, ,Frequently,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,6,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,Yes,1.032046398,58,3,0,Full time employment, , , , , , , , , , , , , , , , , 
33,02/04/2020 17:14,week 1,Female,Ch?goku,2,1,3, , , ,Yes,Somewhat easy,Very willing,Always,Sometimes,Rarely,Always,Rarely,Sometimes,Rarely,Rarely, , ,Rarely,Not at all,Sometimes,Frequently,Sometimes,Rarely,Not at all,Rarely,Not at all,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.099278554,59,3,0,Not working, , , , , , , , , , , , , , , , , 
34,02/04/2020 17:23,week 1,Female,Kansai,3,5,2, , , ,Not sure,Somewhat difficult,Somewhat willing,Always,Always,Rarely,Always,Not at all,Rarely,Not at all,Always, , ,Not at all,Rarely,Sometimes,Always,Frequently,Not at all,Always,Sometimes,Frequently,Sometimes,10, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.099278554,70,3,0,Other, , , , , , , , , , , , , , , , , 
35,02/04/2020 17:29,week 1,Male,Ky?sh?,1,1,2, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Not at all,Frequently,Always,Sometimes,Sometimes,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Always,Rarely,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.032046398,68,1,0,Unemployed, , , , , , , , , , , , , , , , , 
36,02/04/2020 17:36,week 1,Female,Kant?,6,4,2, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Always,Always,Rarely,Not at all,Rarely,Sometimes,Rarely,Always,Frequently,Sometimes,Frequently,Always,Frequently,Rarely,Not at all,Rarely,Frequently,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.010100883,35,3,1,Full time employment, , , , , , , , , , , , , , , , , 
37,02/04/2020 17:41,week 1,Male,Kansai,4,0,0, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Not at all,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,12,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.900619343,28,4,0,Full time employment, , , , , , , , , , , , , , , , , 
38,02/04/2020 17:41,week 1,Female,Ch?bu,6,0,0, , , ,Not sure,Very difficult,Not sure,Always,Always,Always,Always,Always,Frequently,Sometimes,Always, ,Sometimes,Sometimes,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.959289748,32,7,3,Not working, , , , , , , , , , , , , , , , , 
39,02/04/2020 17:43,week 1,Female,Kansai,5,0,1, , , ,Yes,Very difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Rarely,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Not at all,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.975657569,47,5,3,Part time employment, , , , , , , , , , , , , , , , , 
40,02/04/2020 17:45,week 1,Male,Ch?bu,2,1,1, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Not at all,Always,Frequently,Frequently,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,??,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.900619343,33,5,0,Part time employment, , , , , , , , , , , , , , , , , 
41,02/04/2020 17:53,week 1,Male,T?hoku,1,0,1, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Rarely,Frequently,Rarely,Frequently,Always,Frequently,Sometimes,Frequently,Frequently, ,Sometimes,Frequently,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.032046398,59,2,0,Full time employment, , , , , , , , , , , , , , , , , 
42,02/04/2020 18:00,week 1,Female,Ky?sh?,0,0,1,Not sure,Rarely,No,Not sure,Not sure,Not sure,Rarely,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes, , ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, , ,No,Yes,No,No,No,No,No,0.975657569,47,Prefer not to say,Prefer not to say,Other, , , , , , , , , , , , , , , , , 
43,02/04/2020 18:03,week 1,Male,Kansai,1,5,1, , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Sometimes,Rarely,Always,Always,Frequently,Always,Always,Sometimes, ,Frequently,Frequently,Always,Always,Always,Frequently,Always,Always,Sometimes,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.892714894,24,1,0,Part time employment, , , , , , , , , , , , , , , , , 
44,02/04/2020 18:22,week 1,Female,Kansai,2,15,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Rarely,Frequently,Rarely,Frequently,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,9,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.959289748,33,3,0,Full time employment, , , , , , , , , , , , , , , , , 
45,02/04/2020 18:30,week 1,Male,Ch?bu,7,5,2, , , ,Yes,Somewhat easy,Very willing,Rarely,Always,Always,Frequently,Always,Sometimes,Sometimes,Frequently,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Always,Sometimes,Rarely,Not at all,Rarely,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.915986104,51,3,1,Full time employment, , , , , , , , , , , , , , , , , 
46,02/04/2020 18:45,week 1,Female,Ch?goku,1,1,0, , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Always,Always,Not at all,Sometimes,Always,Frequently,Always,Rarely, , ,Always,Rarely,Always,Always,Frequently,Rarely,Always,Always,Not at all,Rarely,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.950870368,19,2,0,Full time student, , , , , , , , , , , , , , , , , 
47,02/04/2020 18:51,week 1,Female,T?hoku,3,100,3, , , ,Yes,Very difficult,Somewhat unwilling,Always,Frequently,Rarely,Always,Always,Sometimes,Sometimes,Always,Sometimes, ,Frequently,Sometimes,Always,Always,Frequently,Sometimes,Not at all,Rarely,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.975657569,49,3,0,Full time employment, , , , , , , , , , , , , , , , , 
