recordno,endtime,qweek,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,House_rooms,sw_1_1,sw_1_2,sw_1_3,sw_1_4,sw_1_5,sw_1_6,sw_1_7,sw_1_8,sw_1_9,sw_1_10,sw_1_11,sw_1_12,sw_1_13,sw_1_14,sw_1_15,sw_1_98,sw_1_other,sw_2,i1_health,i2_health,i7a_health,weight,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,caseid,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
11,03/04/2020 11:38,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat unwilling,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Rarely,Rarely,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Always,Rarely,Rarely,Sometimes,Sometimes,8,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,Three,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,__NA__,No,2,2,2,0.816354439,Female,34,Norra Sverige,4,1,Yes,No,No,No,No,No,No, , , , , , 
12,03/04/2020 11:46,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Frequently,Frequently,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Six,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,Yes,1,3,1,0.935406538,Male,73,Södra mellersta Sverige,1,0,Yes,No,No,No,No,No,No, , , , , , 
13,03/04/2020 11:48,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Frequently,Always,Always,Frequently,Not at all,Rarely,Frequently,Rarely,Rarely,Not at all,Not at all,Frequently,Always,30,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,Four,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,__NA__,Yes,2,50,2,0.940043094,Female,27,Södra mellersta Sverige,3,1,Yes,No,No,No,No,No,No, , , , , , 
14,03/04/2020 11:49,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Sometimes,Rarely,Sometimes,Always,Frequently,Sometimes,Always,Always,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Five,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,__NA__,Yes,0,2,1,0.935406538,Male,65,Södra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , , 
15,03/04/2020 11:52,week 1,"No, I have not","No, they have not",Yes,Yes,Yes,Yes,No,No,Yes,Always,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Always, ,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Sometimes,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,1,0,0,0.987938104,Female,28,Stockholm,2,0,Yes,No,No,No,No,No,No, , , , , , 
16,03/04/2020 11:54,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Frequently,4, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Three,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,Yes,0,3,0,0.967820397,Male,74,"Skåne, Halland och Blekinge",1,0,No,No,No,Yes,No,No,No, , , , , , 
17,03/04/2020 11:57,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Sometimes,Sometimes,Always,Not at all,Not at all,Not at all,Not at all, , ,Always,Not at all,Not at all,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Five,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,tränat på gym,Yes,1,0,1,0.967820397,Male,75,"Skåne, Halland och Blekinge",2,0,No,No,No,Yes,No,No,No, , , , , , 
18,03/04/2020 11:59,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Four,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,1,0,0,0.920037684,Male,70,Stockholm,2,0,No,No,No,Yes,No,No,No, , , , , , 
19,03/04/2020 12:00,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Always,Frequently,Sometimes,Sometimes,Sometimes,Not at all, ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Rarely,Rarely,Sometimes,8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,bibliotek,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Five,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,__NA__,Yes,2,10,1,1.055578549,Female,51,Södra mellersta Sverige,3,0,No,Yes,No,No,No,No,No, , , , , , 
20,03/04/2020 12:01,week 1,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,Frequently,No,No,Yes,Very difficult,Very willing,Not at all,Rarely,Always,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Always,Always,Not at all,Frequently,Not at all,Not at all,Not at all,Not at all,Rarely,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,One,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Hämtat ut paket,Yes,0,100,3,0.972928862,Female,27,Norra Sverige,1,0,No,No,No,No,No,Yes,No, , , , , , 
21,03/04/2020 12:01,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Always,Frequently,Always,Always,Sometimes,Always,Frequently, , ,Frequently,Frequently,Always,Always,Always,Frequently,Rarely,Sometimes,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Four,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,1,1,0,0.991289874,Male,74,Norra mellersta Sverige,2,0,No,No,No,Yes,No,No,No, , , , , , 
22,03/04/2020 12:01,week 1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Frequently,No,Yes,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Always,Not at all,Not at all,Always,Always,40,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Mcdonalds,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Six,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,4,100,2,1.328617789,Male,18,Stockholm,4,2,No,Yes,No,No,No,No,No, , , , , , 
23,03/04/2020 12:03,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very difficult,Very unwilling,Not at all,Frequently,Frequently,Always,Always,Sometimes,Always,Frequently,Always, ,Sometimes,Sometimes,Frequently,Always,Sometimes,Frequently,Not at all,Not at all,Frequently,Frequently,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__, , , , , , , , , , , , , , , ,Three,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Träffat vänner,Yes,2,11,1,0.937839382,Female,33,Södra mellersta Sverige,3,0,Yes,No,No,No,No,No,No, , , , , , 
24,03/04/2020 12:03,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Rarely,Always,Always,Rarely,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Two,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,0,0,4,0.974959941,Female,66,Södra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , , 
25,03/04/2020 12:06,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Frequently,Always,Always,Always,Always,Always,Always,Frequently, , ,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,0,0,3,1.023825839,Female,75,Norra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , , 
26,03/04/2020 12:07,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Neither willing nor unwilling,Not at all,Always,Sometimes,Frequently,Always,Frequently,Sometimes,Not at all, , ,Always,Not at all,Sometimes,Always,Frequently,Sometimes,Not at all,Not at all,Rarely,Sometimes,20, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Eight,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,__NA__,Yes,1,15,0,0.935406538,Male,72,Södra mellersta Sverige,2,0,No,No,No,Yes,No,No,No, , , , , , 
27,03/04/2020 12:08,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Frequently,Not at all,Always,Frequently,Sometimes,Not at all,Not at all,Not at all, ,Sometimes,Sometimes,Sometimes,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Always,10,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__, , , , , , , , , , , , , , , ,Six,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,1,7,2,0.980183622,Female,61,"Skåne, Halland och Blekinge",2,0,Yes,Yes,No,No,No,No,No, , , , , , 
28,03/04/2020 12:09,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Not at all,Always,Not at all,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,1,0,2,0.920037684,Male,77,Stockholm,2,0,No,No,No,Yes,No,No,No, , , , , , 
29,03/04/2020 12:09,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Frequently, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,1,0,0,1.188284735,Female,55,"Skåne, Halland och Blekinge",2,0,No,No,No,Yes,No,No,No, , , , , , 
30,03/04/2020 12:13,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Not at all,Sometimes,Not at all,Sometimes,Always,Frequently,Sometimes,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Not at all,Always,Rarely,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Four,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,0,6,0,0.920037684,Male,76,Stockholm,1,0,No,No,No,Yes,No,No,No, , , , , , 
31,03/04/2020 12:15,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Not at all,Rarely,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,More than ten,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,2,6,1,0.974866127,Female,30,"Skåne, Halland och Blekinge",3,1,Yes,No,No,No,No,No,No, , , , , , 
32,03/04/2020 12:16,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Frequently,Not at all,Rarely,Not at all,Rarely,Not at all, ,Not at all,Rarely,Rarely,Sometimes,Not at all,Rarely,Not at all,Not at all,Sometimes,Sometimes,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Two,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,Yes,0,3,1,0.954475013,Male,49,Norra Sverige,1,0,Yes,No,No,No,No,No,No, , , , , , 
33,03/04/2020 12:21,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Rarely,Always,Always,Sometimes,Frequently,Sometimes, ,Always,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Not at all,Not at all,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,One,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,3,0,2,1.261669396,Male,28,Södra mellersta Sverige,3,1,No,No,Yes,No,No,No,No, , , , , , 
34,03/04/2020 12:24,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Three,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,0,0,1,1.023825839,Female,70,Norra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , , 
35,03/04/2020 12:28,week 1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Yes,Rarely,No,No,No,Very easy,Very willing,Rarely,Always,Always,Frequently,Sometimes,Sometimes,Always,Sometimes,Rarely, ,Rarely,Sometimes,Sometimes,Rarely,Always,Sometimes,Rarely,Rarely,Rarely,Sometimes,10,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Eight,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,1,1,1,0.920037684,Male,61,Stockholm,2,0,Yes,No,No,No,No,No,No, , , , , , 
36,03/04/2020 12:30,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,One,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,0,0,1,1.098208644,Male,30,Stockholm,1,0,No,No,Yes,No,No,No,No, , , , , , 
37,03/04/2020 12:32,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Rarely,Always,Frequently,Always,Always,Rarely,Frequently,Always,Not at all, ,Rarely,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Not at all,Sometimes,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Återvinning/miljö,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,__NA__,Yes,0,100,4,1.092031531,Male,46,Stockholm,1,0,Yes,No,No,No,No,No,No, , , , , , 
38,03/04/2020 12:32,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Sometimes,Frequently,Rarely,Sometimes,Always,Frequently,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Frequently,Not at all,Frequently,Frequently,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Four,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,5,3,0,0.974959941,Female,62,Södra mellersta Sverige,3,0,Yes,No,No,No,No,No,No, , , , , , 
