RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,household_children,weight,gender,age,city,household_size,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7
10,02/04/2020 10:11,week 1,6,100,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Rarely,Frequently,Not at all,Frequently,Always,Always,Sometimes,Always,Always,Rarely,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.977096262,Male,37,Xian,7,Yes,No,No,No,No,No,No
11,02/04/2020 11:11,week 1,6,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Frequently,Sometimes,Frequently,Always,Sometimes,Rarely, , ,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Rarely,Always,Rarely,Sometimes,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,0.877187523,Female,21,Yueyang,Prefer not to say,No,No,Yes,No,No,No,No
12,02/04/2020 11:18,week 1,10,50,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Rarely,Always,Rarely,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.926999048,Male,38,Wuhu,4,Yes,No,No,No,No,No,No
13,02/04/2020 11:36,week 1,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,2,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1,0.96666065,Male,42,Wuhan,3,Yes,No,No,No,No,No,No
14,02/04/2020 11:18,week 1,2,3,2,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.96666065,Male,35,Chongqing,3,Yes,No,No,No,No,No,No
15,02/04/2020 11:54,week 1,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Somewhat unwilling,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always, , ,Always,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.895984202,Male,20,Loudi,4,No,No,Yes,No,No,No,No
16,02/04/2020 11:59,week 1,4,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,4,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.018385978,Male,35,Jinan,4,Yes,No,No,No,No,No,No
17,02/04/2020 12:00,week 1,4,3,1,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Neither willing nor unwilling,Rarely,Frequently,Frequently,Rarely,Sometimes,Sometimes,Frequently,Rarely,Rarely,Sometimes,Rarely,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,2,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.983113143,Male,35,Shanghai,1,Yes,No,No,No,No,No,No
18,02/04/2020 12:00,week 1,4,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Sometimes,Always,Always,Always,Always,Always,Always,Always,Rarely,Frequently,Always,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.050433205,Male,40,Suzhou -  Jiangsu,6,Yes,No,No,No,No,No,No
19,02/04/2020 12:08,week 1,2,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Frequently,Frequently,Frequently,Rarely,Always,Frequently,Frequently,Frequently, ,Rarely,Sometimes,Always,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Always,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.005493894,Male,30,Tianjin,3,No,Yes,No,No,No,No,No
20,02/04/2020 12:11,week 1,4,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1,0.954423373,Male,34,Chongqing,Prefer not to say,Yes,No,No,No,No,No,No
21,02/04/2020 12:12,week 1,2,100,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Rarely,Always,Not at all,Always,Rarely,Not at all,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Not at all,Not at all,Frequently,Always,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,????????????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.091934462,Female,35,Zhongshan,3,Yes,No,No,No,No,No,No
22,02/04/2020 12:14,week 1,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Rarely,Always,Always, ,Always,Sometimes,Sometimes,Always,Always,Frequently,Sometimes,Always,Not at all,Not at all,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.943927683,Male,18,Rizhao,7,No,No,Yes,No,No,No,No
23,02/04/2020 12:17,week 1,2,1,2,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Rarely,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.037135424,Male,29,Wenzhou,3,Yes,Yes,No,No,No,No,No
24,02/04/2020 12:03,week 1,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.078111303,Female,29,Haikou,Prefer not to say,Yes,No,No,No,No,No,No
25,02/04/2020 11:37,week 1,4,3,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes, , ,Sometimes,Always,Always,Always,Always,Always,Always,Rarely,Sometimes,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.877187523,Female,24,Changde,6,No,No,No,No,No,No,Yes
26,02/04/2020 12:06,week 1,1,20,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat unwilling,Frequently,Rarely,Not at all,Rarely,Always,Not at all,Always,Rarely, , ,Always,Frequently,Always,Always,Frequently,Not at all,Always,Not at all,Not at all,Always,0, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,1.093302706,Male,62,Hengyang,2,No,No,No,Yes,No,No,No
27,02/04/2020 12:28,week 1,3,6,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Rarely,Yes,No,No,Very easy,Very willing,Frequently,Rarely,Frequently,Frequently,Always,Always,Rarely,Always,Always,Sometimes,Rarely,Frequently,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,8,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,1.030638985,Male,27,Shenzhen,5,Yes,No,No,No,No,No,No
28,02/04/2020 12:12,week 1,4,9,9,"Yes, and I tested negative","Yes, and they tested positive",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , , , , , ,Prefer not to say,1.01528859,Male,19,Jinhua,3,Yes,No,No,No,No,No,No
29,02/04/2020 12:09,week 1,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Always,Not at all,Sometimes,Not at all,Frequently,Always, ,Always,Not at all,Not at all,Not at all,Always,Rarely,Sometimes,Frequently,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.201084454,Male,58,Shenyang,3,Yes,No,No,No,No,No,No
30,02/04/2020 12:21,week 1,3,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Sometimes,Always,Sometimes,Rarely,Always,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,1,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.101213447,Male,30,Guilin,4,Yes,Yes,No,No,No,No,No
31,02/04/2020 12:22,week 1,4,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Rarely,Frequently,Frequently,4,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,??,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,0.925144618,Male,30,Xining,5,Yes,No,No,No,No,No,No
32,02/04/2020 12:59,week 1,4,2,1,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Sometimes,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.008928996,Male,23,Shenzhen,5,Yes,Yes,No,No,No,No,No
33,02/04/2020 13:06,week 1,1,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Rarely,Always,Always,Not at all, ,Always,Frequently,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.037135424,Male,27,Wuxi,5,Yes,No,No,No,No,No,No
34,02/04/2020 13:06,week 1,4,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always, ,Always,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Not at all,Always,Frequently,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.934400711,Female,31,Chengdu,5,No,No,No,No,Yes,No,No
35,02/04/2020 12:47,week 1,4,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Not at all,Frequently,Frequently,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Always,Frequently,Always,Not at all,Sometimes,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.078016835,Male,20,Maoming,5,No,No,Yes,No,No,No,No
36,02/04/2020 13:09,week 1,3,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Sometimes,Frequently,Sometimes,Always,Always,Sometimes,Frequently,Sometimes, ,Frequently,Sometimes,Frequently,Always,Always,Frequently,Sometimes,Sometimes,Not at all,Frequently,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,0.944010402,Female,32,Handan,5,No,No,No,No,No,Yes,No
37,02/04/2020 13:26,week 1,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Always,Always,1,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.934400711,Female,32,Chengdu,6,No,Yes,Yes,No,No,No,No
38,02/04/2020 13:30,week 1,1,1,1,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Rarely,Frequently,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Frequently,Rarely,2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.954423373,Male,34,Hefei,5,Yes,No,No,No,No,No,No
39,02/04/2020 13:31,week 1,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Sometimes,Rarely,Sometimes,Frequently,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0,0.964238984,Male,26,Jining,3,Yes,No,No,No,No,No,No
40,02/04/2020 13:34,week 1,4,100,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Not sure,Frequently,Frequently,Rarely,Sometimes,Always,Sometimes,Frequently,Sometimes,Sometimes,Always,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Sometimes,Frequently,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.037135424,Male,33,Yangzhou,4,No,Yes,No,No,No,No,No
41,02/04/2020 13:35,week 1,8,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Sometimes,Rarely,Frequently,Sometimes,Sometimes,Rarely,Sometimes, ,Not at all,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Not at all,Sometimes,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.055401329,Female,22,Zhangzhou,5,No,No,No,No,Yes,Yes,No
42,02/04/2020 13:32,week 1,5,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Not at all,Frequently,Always,Always,Sometimes, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Rarely,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.078111303,Female,25,Shantou,6,Yes,No,No,No,No,No,No
43,02/04/2020 13:35,week 1,2,2,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Sometimes,No,Yes,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,2,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2,1.008928996,Male,21,Shenzhen,5,Yes,No,No,No,No,No,No
44,02/04/2020 13:37,week 1,1,1,1,"Yes, and I tested positive","Yes, and they tested negative",No,Yes,No,No,No,No,Yes,Frequently,Yes,No,Yes,Somewhat difficult,Very willing,Frequently,Rarely,Frequently,Frequently,Sometimes,Rarely,Sometimes,Rarely, ,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Always,Always,Rarely,1, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,0,0.915263861,Male,31,Nanyang,4,No,No,Yes,No,No,No,No
45,02/04/2020 14:50,week 1,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Always,Sometimes,Sometimes,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Not at all,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.914717941,Female,24,Nanchang,5,No,No,No,No,Yes,No,No
46,02/04/2020 19:13,week 1,4,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Rarely,Sometimes,Rarely,Sometimes,Always,Always,Frequently,Frequently, , ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.914717941,Female,21,Nanchang,5,No,No,Yes,No,No,No,No
47,03/04/2020 00:36,week 1,2,100,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Always,Always,Not at all,Always,Rarely,Not at all,Not at all,Not at all,Not at all,Always,Frequently,Frequently,Sometimes,Not at all,Sometimes,Always,Not at all,Not at all,Rarely,Not at all,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.112100595,Female,45,Changchun,3,Yes,No,No,No,No,No,No
48,03/04/2020 03:40,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Frequently,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0,1.112100595,Female,50,Haerbin,3,No,No,No,No,No,Yes,No
49,03/04/2020 06:06,week 1,0,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Sometimes, ,Not at all,Rarely,Not at all,Rarely,Not at all,Sometimes,Not at all,Always,Rarely,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,1.055615362,Female,50,Changsha,1,Yes,No,No,No,No,No,No
